Date,Open,High,Low,Close,Volume
2019-03-08,3.61599,3.75019,3.59442,3.7397,425403878
2019-03-11,3.76318,4.023,3.71594,4.00003,865809452
2019-03-12,4.028,4.08092,3.95179,4.03418,583675866
2019-03-13,4.07193,4.2153,4.06433,4.18584,774341510
2019-03-14,4.19504,4.20701,4.10208,4.10987,523060443
2019-03-15,4.15289,4.25786,4.14942,4.2156,666139840
2019-03-18,4.24667,4.30078,4.16687,4.19404,490439178
2019-03-19,4.28859,4.40632,4.27163,4.3623,861022298
2019-03-20,4.39124,4.44445,4.29459,4.32952,724237391
2019-03-21,4.35272,4.59263,4.34772,4.56648,830143520
2019-03-22,4.54024,4.58765,4.39264,4.40632,752933887
2019-03-25,4.366,4.43008,4.24747,4.31407,528928478
2019-03-26,4.45574,4.51205,4.33452,4.39094,708485176
2019-03-27,4.41632,4.46304,4.31207,4.38167,477728446
2019-03-28,4.40752,4.46603,4.34732,4.40012,483662429
2019-03-29,4.46703,4.48202,4.41652,4.45774,460128186
2019-04-01,4.54983,4.55551,4.47802,4.52524,487248112
2019-04-02,4.54953,4.58736,4.50627,4.54324,444039890
2019-04-03,4.59263,4.74112,4.58765,4.68192,794360213
2019-04-04,4.66675,4.71547,4.61081,4.67323,460613129
2019-04-05,4.71617,4.75739,4.67992,4.73982,485154853
2019-04-08,4.70917,4.78607,4.68521,4.76079,427195558
2019-04-09,4.72714,4.73842,4.65576,4.69789,443086119
2019-04-10,4.69719,4.79434,4.69269,4.76859,447919522
2019-04-11,4.77109,4.80252,4.70488,4.7546,377252188
2019-04-12,4.79334,4.79732,4.70767,4.71647,475044386
2019-04-15,4.70867,4.71367,4.54584,4.58506,443207941
2019-04-16,4.62458,4.69069,4.59163,4.67193,397758408
2019-04-17,4.70667,4.72764,4.62728,4.64927,353486461
2019-04-18,4.65576,4.6897,4.59703,4.62498,383684094
2019-04-22,4.60133,4.69389,4.56998,4.67852,281916342
2019-04-23,4.69149,4.76439,4.68172,4.73284,349309566
2019-04-24,4.74342,4.78637,4.68252,4.74542,320456407
2019-04-25,4.70488,4.72744,4.56049,4.64027,502830545
2019-04-26,4.48612,4.49061,4.30208,4.4211,875138175
2019-04-29,4.42908,4.47972,4.357,4.45205,394692629
2019-04-30,4.41951,4.51905,4.40032,4.49329,365489709
2019-05-01,4.54604,4.58785,4.48002,4.48022,356788151
2019-05-02,4.48991,4.58934,4.44645,4.54804,397478201
2019-05-03,4.55621,4.56618,4.48172,4.54354,339206860
2019-05-06,4.357,4.47702,4.31956,4.46473,425165112
2019-05-07,4.41632,4.41632,4.24887,4.29739,559147052
2019-05-08,4.26963,4.39782,4.25766,4.31756,422132252
2019-05-09,4.24817,4.25786,4.10587,4.22479,664918490
2019-05-10,4.19404,4.25946,4.07113,4.19084,573527873
2019-05-13,4.05864,4.08191,3.91735,3.93333,661561147
2019-05-14,3.97306,4.05764,3.93433,4.0224,528592988
2019-05-15,3.96677,3.99773,3.90739,3.96128,505874531
2019-05-16,3.95609,4.019,3.91337,3.97626,786615191
2019-05-17,3.93453,4.06394,3.84626,3.88561,1029300138
2019-05-20,3.78716,3.84197,3.7425,3.76718,576113366
2019-05-21,3.82768,3.86522,3.78946,3.84925,364410351
2019-05-22,3.81031,3.83647,3.76748,3.77847,328175541
2019-05-23,3.71594,3.71594,3.59742,3.65715,596032291
2019-05-24,3.67604,3.71126,3.59642,3.60322,360115590
2019-05-28,3.62098,3.65365,3.5561,3.5581,431385161
2019-05-29,3.51087,3.54552,3.44925,3.48419,563762710
2019-05-30,3.48739,3.52334,3.419,3.45744,396636957
2019-05-31,3.40833,3.44098,3.36477,3.36657,392029871
2019-06-03,3.37777,3.41651,3.29519,3.32465,481480577
2019-06-04,3.38903,3.5591,3.36657,3.55381,645640160
2019-06-05,3.62797,3.63337,3.4752,3.51157,514648196
2019-06-06,3.51585,3.59802,3.51336,3.57327,410557923
2019-06-07,3.57925,3.65036,3.56009,3.61619,350925494
2019-06-10,3.67224,3.75748,3.67224,3.68891,405168551
2019-06-11,3.74889,3.78666,3.70697,3.7467,386145572
2019-06-12,3.70297,3.70926,3.61839,3.63367,361019417
2019-06-13,3.65565,3.70297,3.63817,3.68471,309907366
2019-06-14,3.59143,3.61599,3.54981,3.59472,396764357
2019-06-17,3.59302,3.64167,3.57007,3.60442,277677845
2019-06-18,3.66594,3.85492,3.65495,3.79944,585367537
2019-06-19,3.83468,3.84596,3.77947,3.80543,333609899
2019-06-20,3.8959,3.90989,3.8153,3.82968,352243018
2019-06-21,3.81471,3.86422,3.76518,3.77167,437002142
2019-06-24,3.79316,3.82348,3.7459,3.79416,284625990
2019-06-25,3.79885,3.87422,3.76188,3.76468,313715181
2019-06-26,3.8922,4.019,3.87942,3.95778,587535378
2019-06-27,4.04365,4.07593,4.00742,4.05664,448082124
2019-06-28,4.10058,4.10987,4.03468,4.08162,400023684
2019-07-01,4.28879,4.32333,4.09228,4.12985,715750954
2019-07-02,4.11307,4.13404,4.0184,4.03169,402600034
2019-07-03,4.05514,4.06094,3.98445,4.04465,248096261
2019-07-05,3.98605,3.99045,3.91855,3.98176,398904586
2019-07-08,3.92235,3.94132,3.87722,3.90689,331741685
2019-07-09,3.86492,3.93753,3.85223,3.90939,344892944
2019-07-10,3.95309,4.03518,3.93913,3.97746,454755850
2019-07-11,4.05095,4.17307,4.01341,4.13255,686604688
2019-07-12,4.16007,4.23658,4.16007,4.16537,509394507
2019-07-15,4.18664,4.20281,4.12885,4.15688,291557840
2019-07-16,4.14213,4.17937,4.09658,4.15209,343467951
2019-07-17,4.15389,4.22459,4.12485,4.2176,350268495
2019-07-18,4.22799,4.29239,4.17137,4.22928,445806103
2019-07-19,4.26763,4.27413,4.18007,4.18604,346940335
2019-07-22,4.2076,4.27063,4.20003,4.25766,317812787
2019-07-23,4.29709,4.36799,4.2814,4.366,430714742
2019-07-24,4.44027,4.44605,4.33302,4.44027,368408539
2019-07-25,4.39852,4.41132,4.2856,4.30907,395025956
2019-07-26,4.33632,4.39782,4.33632,4.35132,275785065
2019-07-29,4.34402,4.3613,4.25646,4.34502,249633021
2019-07-30,4.29838,4.37298,4.2838,4.3607,198942789
2019-07-31,4.32902,4.32972,4.15071,4.19304,361546282
2019-08-01,4.20361,4.29409,4.04635,4.09858,423709493
2019-08-02,4.00572,4.07533,3.95828,4.00572,430888521
2019-08-05,3.82228,3.82348,3.70068,3.7477,592649890
2019-08-06,3.82228,3.86792,3.7387,3.78646,363412293
2019-08-07,3.72553,3.83647,3.70797,3.82448,374770330
2019-08-08,3.88222,3.93433,3.82468,3.93313,311132372
2019-08-09,3.8922,3.8954,3.78147,3.83168,343843000
2019-08-12,3.77967,3.83168,3.7422,3.76388,280855511
2019-08-13,3.75269,3.92414,3.72353,3.87842,362649496
2019-08-14,3.79016,3.80114,3.68591,3.72972,422370327
2019-08-15,3.75519,3.76848,3.66334,3.69739,557748798
2019-08-16,3.96008,4.01441,3.89859,3.96527,1021404231
2019-08-19,4.07893,4.26016,4.06264,4.24427,821161515
2019-08-20,4.23877,4.23927,4.15071,4.17187,466269258
2019-08-21,4.23797,4.31077,4.2166,4.25546,430447514
2019-08-22,4.26515,4.30777,4.22259,4.26166,305557344
2019-08-23,4.18506,4.23957,4.01701,4.03698,572873277
2019-08-26,4.11587,4.13993,4.07363,4.11187,320482706
2019-08-27,4.14991,4.15269,3.99144,4.021,293277834
2019-08-28,3.99443,4.06334,3.95549,4.01041,257090134
2019-08-29,4.10208,4.18684,4.09858,4.15438,360140968
2019-08-30,4.20082,4.25047,4.14892,4.16707,292343561
2019-09-03,4.09428,4.12725,4.06114,4.08411,297973552
2019-09-04,4.14473,4.20581,4.14473,4.19834,229245718
2019-09-05,4.30058,4.47802,4.29878,4.47173,699920843
2019-09-06,4.44825,4.50527,4.40632,4.44445,378836459
2019-09-09,4.47572,4.57707,4.47422,4.49061,419585026
2019-09-10,4.45774,4.58366,4.44805,4.55721,354552670
2019-09-11,4.57197,4.63397,4.54304,4.58566,363294718
2019-09-12,4.63227,4.68671,4.57637,4.58406,329458292
2019-09-13,4.51785,4.55502,4.48272,4.52654,326192716
2019-09-16,4.45125,4.51805,4.44077,4.48342,232975507
2019-09-17,4.49011,4.50887,4.44346,4.50487,229600247
2019-09-18,4.49789,4.51355,4.39094,4.47772,265340219
2019-09-19,4.48372,4.50207,4.39124,4.40182,257607345
2019-09-20,4.40082,4.4245,4.2858,4.29609,359014189
2019-09-23,4.29639,4.39512,4.29259,4.34972,257087881
2019-09-24,4.38097,4.41052,4.25646,4.29209,322826549
2019-09-25,4.29159,4.45375,4.24667,4.43407,314651516
2019-09-26,4.4243,4.43308,4.361,4.41182,238999164
2019-09-27,4.37028,4.42081,4.2123,4.27283,367764319
2019-09-30,4.29878,4.34072,4.26743,4.33052,194152189
2019-10-01,4.35372,4.50307,4.32403,4.32872,369379256
2019-10-02,4.30677,4.31876,4.23228,4.30478,297120330
2019-10-03,4.30937,4.51705,4.27881,4.51087,465013357
2019-10-04,4.51305,4.55651,4.44775,4.52724,269282113
2019-10-07,4.59183,4.68521,4.58306,4.58566,490722540
2019-10-08,4.49409,4.49409,4.39094,4.40912,451559296
